Profile Summary
Generated on: 2020-11-14 16:02:31
Msec since Epoch: 1605369751119
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,9099.59,0.108583,21.563,244.907,
clCreateBuffer,810,4062.74,0.017589,5.01573,37.2598,
clEnqueueReadBuffer,41,565.379,0.145125,13.7897,67.9471,
clReleaseMemObject,455,479.433,0.004431,1.0537,7.5062,
clSetKernelArg,4372,284.645,0.004472,0.0651062,8.6259,
clCreateProgramWithBinary,1,251.852,251.852,251.852,251.852,
clEnqueueTask,422,237.429,0.073552,0.562628,17.4311,
clCreateKernel,71,88.7553,1.1972,1.25007,1.31376,
clEnqueueWriteBuffer,268,34.4656,0.051657,0.128603,1.51216,
clGetEventProfilingInfo,844,5.03491,0.004569,0.00596554,0.038101,
clReleaseEvent,422,3.85031,0.007032,0.00912396,0.031642,
clReleaseKernel,60,0.448748,0.005797,0.00747913,0.038372,
clGetExtensionFunctionAddress,2,0.090131,0.016362,0.0450655,0.073769,
clGetPlatformInfo,14,0.073186,0.004528,0.00522757,0.008013,
clRetainDevice,4,0.026603,0.005465,0.00665075,0.008479,
clReleaseDevice,3,0.018153,0.004828,0.006051,0.007925,
clGetExtensionFunctionAddressForPlatform,2,0.017446,0.005832,0.008723,0.011614,
clGetDeviceIDs,2,0.01683,0.005027,0.008415,0.011803,
clGetDeviceInfo,2,0.015016,0.006581,0.007508,0.008435,
clCreateCommandQueue,1,0.012204,0.012204,0.012204,0.012204,
clCreateContext,1,0.010889,0.010889,0.010889,0.010889,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,203.517,3.05825,25.4397,58.2951,
task_conv2_1x1_direct,8,1308.71,79.4274,163.589,235.827,
task_datamover,1,0.368241,0.368241,0.368241,0.368241,
task_datamover,1,0.246157,0.246157,0.246157,0.246157,
task_datamover,1,0.366918,0.366918,0.366918,0.366918,
task_datamover,1,0.243781,0.243781,0.243781,0.243781,
task_datamover,1,10.6686,10.6686,10.6686,10.6686,
task_datamover,1,0.237665,0.237665,0.237665,0.237665,
task_datamover,1,8.53084,8.53084,8.53084,8.53084,
task_datamover,1,0.247343,0.247343,0.247343,0.247343,
task_datamover,3,31.838,10.6034,10.6127,10.624,
task_datamover,1,8.52115,8.52115,8.52115,8.52115,
task_datamover,1,2.73656,2.73656,2.73656,2.73656,
task_datamover,5,63.6389,10.6061,12.7278,21.1531,
task_datamover,2,42.2917,21.1376,21.1459,21.1541,
task_datamover,1,21.1005,21.1005,21.1005,21.1005,
task_datamover,1,8.50211,8.50211,8.50211,8.50211,
task_datamover,3,19.8128,2.78634,6.60425,8.5136,
task_datamover,1,0.374884,0.374884,0.374884,0.374884,
task_datamover,1,8.55466,8.55466,8.55466,8.55466,
task_datamover,1,8.52436,8.52436,8.52436,8.52436,
task_datamover,2,42.2183,21.1045,21.1091,21.1138,
task_datamover,2,9.68064,1.15927,4.84032,8.52138,
task_datamover,1,8.61708,8.61708,8.61708,8.61708,
task_datamover,2,8.89367,0.371006,4.44684,8.52267,
task_datamover,2,0.372102,0.121103,0.186051,0.250999,
task_datamover,1,0.094103,0.094103,0.094103,0.094103,
task_datamover,1,8.59398,8.59398,8.59398,8.59398,
task_datamover,1,0.366856,0.366856,0.366856,0.366856,
task_datamover,2,0.20744,0.101675,0.10372,0.105765,
task_datamover,2,21.2672,10.6126,10.6336,10.6546,
task_datamover,1,10.6051,10.6051,10.6051,10.6051,
task_datamover,1,8.52973,8.52973,8.52973,8.52973,
task_datamover,1,21.1032,21.1032,21.1032,21.1032,
task_datamover,1,10.6316,10.6316,10.6316,10.6316,
task_datamover,1,10.6136,10.6136,10.6136,10.6136,
task_datamover,4,52.9803,10.6093,13.2451,21.0988,
task_datamover,1,2.73841,2.73841,2.73841,2.73841,
