Profile Summary
Generated on: 2020-11-14 15:59:42
Msec since Epoch: 1605369582324
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,2347.4,0.104746,5.56255,61.3034,
clCreateBuffer,810,1019.12,0.018406,1.25817,16.9064,
clEnqueueTask,422,248.753,0.080322,0.589461,20.8323,
clCreateProgramWithBinary,1,209.161,209.161,209.161,209.161,
clReleaseMemObject,455,125.18,0.004961,0.275122,2.04305,
clEnqueueReadBuffer,41,117.845,0.138514,2.87428,16.6912,
clSetKernelArg,4372,96.3103,0.005021,0.0220289,2.44451,
clCreateKernel,71,88.3382,1.20071,1.2442,1.30947,
clEnqueueWriteBuffer,268,32.2915,0.054007,0.120491,1.55043,
clGetEventProfilingInfo,844,5.3113,0.005102,0.006293,0.035251,
clReleaseEvent,422,4.05538,0.007516,0.00960991,0.029072,
clReleaseKernel,60,0.410071,0.006325,0.00683452,0.009928,
clGetExtensionFunctionAddress,2,0.090603,0.017254,0.0453015,0.073349,
clGetPlatformInfo,14,0.076185,0.004882,0.00544179,0.008757,
clGetDeviceIDs,2,0.042759,0.012845,0.0213795,0.029914,
clRetainDevice,4,0.02696,0.005194,0.00674,0.008948,
clReleaseDevice,3,0.019355,0.005322,0.00645167,0.00848,
clGetExtensionFunctionAddressForPlatform,2,0.017408,0.00604,0.008704,0.011368,
clGetDeviceInfo,2,0.016704,0.007263,0.008352,0.009441,
clCreateCommandQueue,1,0.012855,0.012855,0.012855,0.012855,
clCreateContext,1,0.011144,0.011144,0.011144,0.011144,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,51.6077,0.837082,6.45096,14.6899,
task_conv2_1x1_direct,8,328.05,19.9515,41.0062,59.0714,
task_datamover,1,0.13703,0.13703,0.13703,0.13703,
task_datamover,1,0.244765,0.244765,0.244765,0.244765,
task_datamover,1,0.144787,0.144787,0.144787,0.144787,
task_datamover,3,2.61113,0.141087,0.870375,2.28602,
task_datamover,1,0.767283,0.767283,0.767283,0.767283,
task_datamover,1,0.140545,0.140545,0.140545,0.140545,
task_datamover,2,10.7644,5.37852,5.38218,5.38584,
task_datamover,1,5.3736,5.3736,5.3736,5.3736,
task_datamover,1,0.7616,0.7616,0.7616,0.7616,
task_datamover,3,8.23068,2.7302,2.74356,2.76656,
task_datamover,3,4.86068,0.374164,1.62023,2.26808,
task_datamover,1,2.74609,2.74609,2.74609,2.74609,
task_datamover,1,5.3793,5.3793,5.3793,5.3793,
task_datamover,2,8.14854,2.75667,4.07427,5.39187,
task_datamover,2,8.10462,2.7267,4.05231,5.37792,
task_datamover,1,0.100648,0.100648,0.100648,0.100648,
task_datamover,1,0.134251,0.134251,0.134251,0.134251,
task_datamover,3,0.322598,0.096337,0.107533,0.11882,
task_datamover,1,2.76362,2.76362,2.76362,2.76362,
task_datamover,2,2.37456,0.163599,1.18728,2.21097,
task_datamover,1,2.20693,2.20693,2.20693,2.20693,
task_datamover,1,2.73092,2.73092,2.73092,2.73092,
task_datamover,1,2.21101,2.21101,2.21101,2.21101,
task_datamover,2,2.39902,0.180141,1.19951,2.21888,
task_datamover,2,2.38873,0.17563,1.19436,2.2131,
task_datamover,1,2.73389,2.73389,2.73389,2.73389,
task_datamover,3,16.2095,5.37522,5.40316,5.41922,
task_datamover,1,5.37517,5.37517,5.37517,5.37517,
task_datamover,1,2.72765,2.72765,2.72765,2.72765,
task_datamover,4,7.95834,0.766535,1.98958,2.73704,
task_datamover,2,2.42677,0.18043,1.21339,2.24634,
task_datamover,1,2.80145,2.80145,2.80145,2.80145,
task_datamover,1,2.21513,2.21513,2.21513,2.21513,
task_datamover,1,2.73425,2.73425,2.73425,2.73425,
task_datamover,1,2.73462,2.73462,2.73462,2.73462,
task_datamover,1,2.73746,2.73746,2.73746,2.73746,
task_datamover,1,2.73607,2.73607,2.73607,2.73607,
task_datamover,1,2.74235,2.74235,2.74235,2.74235,
task_datamover,1,2.26117,2.26117,2.26117,2.26117,
task_datamover,1,5.37488,5.37488,5.37488,5.37488,
task_gather,5,38.9654,2.84487,7.79307,11.0926,
task_matmul,12,175.377,0.355134,14.6148,53.0847,
task_matops,219,480.805,0.097152,2.19546,21.4561,
task_pad_unpad,8,45.876,0.111967,5.7345,11.3436,
task_reduce,48,536.415,0.091553,11.1753,25.7006,
task_relu_sqrt_square,29,16.8256,0.092413,0.580192,2.91936,
task_tile,15,56.0637,1.87519,3.73758,9.11838,
task_topk,5,263.644,52.6796,52.7289,52.7664,
task_transpose,5,3.66657,0.296801,0.733313,1.02522,


Compute Unit Utilization
