Profile Summary
Generated on: 2020-11-14 16:00:15
Msec since Epoch: 1605369615499
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,4600.93,0.099334,10.9027,122.459,
clCreateBuffer,810,1988.47,0.017441,2.45491,21.6689,
clCreateProgramWithBinary,1,249.405,249.405,249.405,249.405,
clEnqueueReadBuffer,41,244.684,0.154744,5.96789,34.0924,
clReleaseMemObject,455,240.695,0.004498,0.529001,3.75809,
clEnqueueTask,422,196.849,0.080116,0.466468,13.0157,
clSetKernelArg,4372,156.239,0.004513,0.0357363,4.59138,
clCreateKernel,71,88.6647,1.20982,1.2488,1.30778,
clEnqueueWriteBuffer,268,32.6816,0.050745,0.121946,1.51089,
clGetEventProfilingInfo,844,4.90568,0.004599,0.00581241,0.035677,
clReleaseEvent,422,3.91705,0.00692,0.0092821,0.033123,
clReleaseKernel,60,0.389983,0.005888,0.00649972,0.009615,
clGetExtensionFunctionAddress,2,0.089113,0.015859,0.0445565,0.073254,
clGetPlatformInfo,14,0.069144,0.004417,0.00493886,0.007786,
clRetainDevice,4,0.02752,0.005573,0.00688,0.008954,
clReleaseDevice,3,0.018017,0.004966,0.00600567,0.00777,
clGetExtensionFunctionAddressForPlatform,2,0.017684,0.005613,0.008842,0.012071,
clGetDeviceIDs,2,0.017345,0.005234,0.0086725,0.012111,
clGetDeviceInfo,2,0.015097,0.006514,0.0075485,0.008583,
clCreateCommandQueue,1,0.012231,0.012231,0.012231,0.012231,
clCreateContext,1,0.011591,0.011591,0.011591,0.011591,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,102.079,1.55603,12.7599,29.1851,
task_conv2_1x1_direct,8,654.959,39.7713,81.8699,117.994,
task_datamover,1,0.174054,0.174054,0.174054,0.174054,
task_datamover,1,0.268337,0.268337,0.268337,0.268337,
task_datamover,1,1.42351,1.42351,1.42351,1.42351,
task_datamover,1,0.188662,0.188662,0.188662,0.188662,
task_datamover,1,4.3186,4.3186,4.3186,4.3186,
task_datamover,1,0.175651,0.175651,0.175651,0.175651,
task_datamover,1,0.188418,0.188418,0.188418,0.188418,
task_datamover,1,0.252516,0.252516,0.252516,0.252516,
task_datamover,1,1.47133,1.47133,1.47133,1.47133,
task_datamover,2,4.98245,0.63246,2.49123,4.34999,
task_datamover,4,21.5454,5.36317,5.38636,5.42651,
task_datamover,3,31.8569,10.6166,10.619,10.6205,
task_datamover,1,10.6184,10.6184,10.6184,10.6184,
task_datamover,5,0.565477,0.093616,0.113095,0.168992,
task_datamover,1,5.36781,5.36781,5.36781,5.36781,
task_datamover,1,5.36249,5.36249,5.36249,5.36249,
task_datamover,2,8.71829,4.35593,4.35914,4.36236,
task_datamover,1,0.243166,0.243166,0.243166,0.243166,
task_datamover,1,4.33968,4.33968,4.33968,4.33968,
task_datamover,1,5.36517,5.36517,5.36517,5.36517,
task_datamover,1,5.40927,5.40927,5.40927,5.40927,
task_datamover,3,11.1132,0.242045,3.7044,5.44742,
task_datamover,1,0.241797,0.241797,0.241797,0.241797,
task_datamover,1,4.32372,4.32372,4.32372,4.32372,
task_datamover,1,4.3143,4.3143,4.3143,4.3143,
task_datamover,1,5.36127,5.36127,5.36127,5.36127,
task_datamover,2,4.64519,0.231939,2.32259,4.41325,
task_datamover,4,26.7543,5.35724,6.68857,10.6167,
task_datamover,1,5.35862,5.35862,5.35862,5.35862,
task_datamover,2,8.63711,4.31707,4.31856,4.32005,
task_datamover,4,42.5111,10.6122,10.6278,10.6606,
task_datamover,1,5.37109,5.37109,5.37109,5.37109,
task_datamover,1,10.6369,10.6369,10.6369,10.6369,
task_datamover,1,5.38407,5.38407,5.38407,5.38407,
task_datamover,1,4.30607,4.30607,4.30607,4.30607,
task_datamover,1,4.32143,4.32143,4.32143,4.32143,
task_datamover,1,10.615,10.615,10.615,10.615,
task_datamover,1,1.41983,1.41983,1.41983,1.41983,
task_datamover,1,4.31516,4.31516,4.31516,4.31516,
task_gather,5,77.4021,5.59479,15.4804,22.0693,
task_matmul,12,345.436,0.362046,28.7863,106.034,
task_matops,219,937.011,0.095299,4.27859,42.8137,
task_pad_unpad,8,90.8691,0.109786,11.3586,22.6525,
task_reduce,48,1067.53,0.095008,22.2403,51.2963,
task_relu_sqrt_square,29,30.6047,0.085534,1.05533,5.76765,
task_tile,15,110.838,3.66164,7.3892,18.1622,
task_topk,5,526.022,105.172,105.204,105.226,
task_transpose,5,6.80202,0.489161,1.3604,1.94432,


Compute Unit Utilization
