Profile Summary
Generated on: 2020-11-14 16:06:54
Msec since Epoch: 1605370014539
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,33908.3,0.11787,80.3515,921.111,
clCreateBuffer,810,15205.4,0.017649,18.7722,124.295,
clEnqueueReadBuffer,41,2101.27,0.14478,51.2504,251.947,
clReleaseMemObject,455,1744.6,0.004504,3.83428,27.7335,
clSetKernelArg,4372,967.959,0.004489,0.2214,32.5368,
clEnqueueTask,422,259.495,0.076999,0.614917,21.532,
clCreateProgramWithBinary,1,244.054,244.054,244.054,244.054,
clCreateKernel,71,88.5984,1.19453,1.24787,1.30371,
clEnqueueWriteBuffer,268,41.8595,0.054579,0.156192,1.54023,
clGetEventProfilingInfo,844,5.21729,0.00453,0.00618163,0.070139,
clReleaseEvent,422,4.0609,0.007294,0.00962299,0.062081,
clReleaseKernel,60,0.416803,0.00603,0.00694672,0.025693,
clGetExtensionFunctionAddress,2,0.088576,0.015965,0.044288,0.072611,
clGetPlatformInfo,14,0.081797,0.004396,0.00584264,0.012975,
clRetainDevice,4,0.02786,0.005698,0.006965,0.009,
clReleaseDevice,3,0.017535,0.004785,0.005845,0.0077,
clGetExtensionFunctionAddressForPlatform,2,0.017261,0.005596,0.0086305,0.011665,
clGetDeviceIDs,2,0.017114,0.005116,0.008557,0.011998,
clGetDeviceInfo,2,0.015169,0.006942,0.0075845,0.008227,
clCreateCommandQueue,1,0.01238,0.01238,0.01238,0.01238,
clCreateContext,1,0.01152,0.01152,0.01152,0.01152,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,759.934,11.0296,94.9917,218.136,
task_conv2_1x1_direct,8,4904.53,297.54,613.066,883.982,
task_datamover,2,118.31,39.4685,59.1548,78.8412,
task_datamover,1,31.605,31.605,31.605,31.605,
task_datamover,1,78.7927,78.7927,78.7927,78.7927,
task_datamover,2,157.564,78.7736,78.782,78.7905,
task_datamover,2,1.29188,0.598276,0.645939,0.693602,
task_datamover,1,0.601805,0.601805,0.601805,0.601805,
task_datamover,3,33.3029,0.608363,11.101,31.6085,
task_datamover,2,78.9188,39.4546,39.4594,39.4641,
task_datamover,1,0.596636,0.596636,0.596636,0.596636,
task_datamover,1,1.10035,1.10035,1.10035,1.10035,
task_datamover,1,0.108729,0.108729,0.108729,0.108729,
task_datamover,1,78.78,78.78,78.78,78.78,
task_datamover,1,39.5072,39.5072,39.5072,39.5072,
task_datamover,1,10.009,10.009,10.009,10.009,
task_datamover,1,39.5551,39.5551,39.5551,39.5551,
task_datamover,1,4.06607,4.06607,4.06607,4.06607,
task_datamover,1,39.4713,39.4713,39.4713,39.4713,
task_datamover,1,78.8137,78.8137,78.8137,78.8137,
task_datamover,1,31.6048,31.6048,31.6048,31.6048,
task_datamover,2,78.9777,39.4754,39.4888,39.5022,
task_datamover,2,157.657,78.7809,78.8283,78.8758,
task_datamover,1,31.6046,31.6046,31.6046,31.6046,
task_datamover,2,0.195334,0.095391,0.097667,0.099943,
task_datamover,2,32.6974,1.09925,16.3487,31.5981,
task_datamover,2,0.699212,0.107558,0.349606,0.591654,
task_datamover,1,10.0397,10.0397,10.0397,10.0397,
task_datamover,1,31.5971,31.5971,31.5971,31.5971,
task_datamover,2,78.9159,39.4539,39.458,39.462,
task_datamover,1,78.81,78.81,78.81,78.81,
task_datamover,1,1.14253,1.14253,1.14253,1.14253,
task_datamover,1,31.6167,31.6167,31.6167,31.6167,
task_datamover,1,39.5045,39.5045,39.5045,39.5045,
task_datamover,2,79.8791,1.08695,39.9396,78.7922,
task_datamover,1,39.4623,39.4623,39.4623,39.4623,
task_datamover,1,39.4572,39.4572,39.4572,39.4572,
task_datamover,1,39.506,39.506,39.506,39.506,
task_datamover,1,31.6035,31.6035,31.6035,31.6035,
task_datamover,1,39.5147,39.5147,39.5147,39.5147,
task_datamover,2,41.6262,9.98581,20.8131,31.6404,
task_datamover,1,39.4705,39.4705,39.4705,39.4705,
task_datamover,1,31.6807,31.6807,31.6807,31.6807,
task_datamover,1,39.4995,39.4995,39.4995,39.4995,
task_datamover,1,31.6102,31.6102,31.6102,31.6102,
task_datamover,2,63.1964,31.5846,31.5982,31.6118,
task_datamover,1,78.7914,78.7914,78.7914,78.7914,
task_gather,5,576.442,41.2234,115.288,164.71,
task_matmul,12,2584.49,2.18983,215.375,794.36,
task_matops,219,6859.31,0.099294,31.321,319.902,
task_pad_unpad,8,674.24,0.11608,84.28,168.47,
task_reduce,48,7973.49,0.114682,166.114,383.61,
task_relu_sqrt_square,29,207.724,0.093447,7.16288,41.9639,
task_tile,15,818.599,26.8269,54.5733,135.176,
task_topk,5,3942.63,788.407,788.527,788.647,
task_transpose,5,47.7333,2.9879,9.54665,13.9296,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,41,1252.765540,13.049641,64035.1,2095.715935,51.115023,
context0:1,WRITE,422,9525.242972,99.221281,59077.7,2617.339219,6.202226,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
25295792,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,37744.3,883.982,1:1:1,1:1:1,
25295792,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,46561.7,883.931,1:1:1,1:1:1,
25295792,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,28909.9,883.929,1:1:1,1:1:1,
25292240,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,24710.3,794.36,1:1:1,1:1:1,
25292240,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,33524.5,794.331,1:1:1,1:1:1,
25292240,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,42357.7,794.329,1:1:1,1:1:1,
25297136,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,35102.6,788.647,1:1:1,1:1:1,
25297136,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,43941.9,788.582,1:1:1,1:1:1,
25297136,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,26327.6,788.564,1:1:1,1:1:1,
25297136,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,18904.9,788.435,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
4415488,0,0,46524.6,37.100872,314639,8480.632153,
4136960,0,0,37710,34.221751,314573,9192.196390,
2352713728,0,0,37430.6,33.583350,314573,9366.927361,
1597739008,0,0,28595.6,33.233594,314573,9465.506499,
23799767040,0,0,45644.3,33.172919,314573,9482.819405,
9887744,0,0,3225.77,33.113869,314573,9499.737285,
3969024,0,0,20229.2,33.084278,314573,9508.233971,
3107688448,0,0,46246.3,33.035267,314573,9522.332603,
10014720,0,0,7844.9,33.004908,314606,9532.099893,
4009984,0,0,28876.9,32.917951,314573,9556.276938,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
20937154560,0,0,13883.1,251.777364,314573,1249.408585,
827035648,0,0,8428.96,251.483597,314573,1250.868064,
19993436160,0,0,14465.3,249.773474,314573,1259.432377,
18420572160,0,0,7257.04,129.016165,157286,1219.121650,
