Profile Summary
Generated on: 2020-11-16 22:14:48
Msec since Epoch: 1605564888336
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFlush,422,11341.6,0.102817,26.8759,305.827,
clCreateBuffer,690,3188.81,0.026693,4.62146,49.6294,
clEnqueueReadBuffer,41,704.755,0.145229,17.1892,84.9172,
clSetKernelArg,4372,348.992,0.004461,0.0798244,10.7996,
clCreateProgramWithBinary,1,278.684,278.684,278.684,278.684,
clEnqueueTask,422,239.005,0.074854,0.566362,21.7638,
clReleaseMemObject,335,134.723,0.004503,0.402159,9.22412,
clCreateKernel,71,88.0709,1.19565,1.24044,1.29637,
clEnqueueWriteBuffer,268,35.4228,0.055141,0.132175,1.52472,
clGetEventProfilingInfo,844,4.75663,0.004589,0.00563582,0.051852,
clReleaseEvent,422,3.95485,0.007038,0.00937168,0.036429,
clWaitForEvents,422,2.59618,0.005412,0.00615209,0.02592,
clReleaseKernel,60,0.445231,0.005684,0.00742052,0.027549,
clGetExtensionFunctionAddress,2,0.091113,0.016884,0.0455565,0.074229,
clGetPlatformInfo,14,0.06986,0.004403,0.00499,0.007515,
clRetainDevice,4,0.024891,0.00454,0.00622275,0.009118,
clReleaseDevice,3,0.018134,0.004853,0.00604467,0.007939,
clGetExtensionFunctionAddressForPlatform,2,0.017174,0.00567,0.008587,0.011504,
clGetDeviceIDs,2,0.016875,0.005066,0.0084375,0.011809,
clGetDeviceInfo,2,0.015592,0.007231,0.007796,0.008361,
clCreateCommandQueue,1,0.012977,0.012977,0.012977,0.012977,
clCreateContext,1,0.010845,0.010845,0.010845,0.010845,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,253.934,3.74465,31.7418,72.7934,
task_conv2_1x1_direct,8,1635.7,99.2723,204.462,294.774,
task_datamover,1,0.274222,0.274222,0.274222,0.274222,
task_datamover,1,0.270357,0.270357,0.270357,0.270357,
task_datamover,1,0.348924,0.348924,0.348924,0.348924,
task_datamover,1,0.270312,0.270312,0.270312,0.270312,
task_datamover,1,10.6416,10.6416,10.6416,10.6416,
task_datamover,1,3.38771,3.38771,3.38771,3.38771,
task_datamover,2,0.706674,0.273309,0.353337,0.433365,
task_datamover,1,10.6396,10.6396,10.6396,10.6396,
task_datamover,1,10.6107,10.6107,10.6107,10.6107,
task_datamover,2,52.7299,26.3476,26.365,26.3823,
task_datamover,3,39.7146,13.2192,13.2382,13.2566,
task_datamover,1,13.2457,13.2457,13.2457,13.2457,
task_datamover,1,26.3454,26.3454,26.3454,26.3454,
task_datamover,1,13.2534,13.2534,13.2534,13.2534,
task_datamover,2,12.1354,1.47103,6.06772,10.6644,
task_datamover,1,26.3482,26.3482,26.3482,26.3482,
task_datamover,1,10.6074,10.6074,10.6074,10.6074,
task_datamover,1,13.2275,13.2275,13.2275,13.2275,
task_datamover,1,13.2408,13.2408,13.2408,13.2408,
task_datamover,3,0.49064,0.106296,0.163547,0.275242,
task_datamover,2,11.0372,0.438251,5.5186,10.599,
task_datamover,4,105.391,26.3378,26.3479,26.3549,
task_datamover,3,37.3711,0.433442,12.457,26.3322,
task_datamover,1,3.4032,3.4032,3.4032,3.4032,
task_datamover,1,13.2283,13.2283,13.2283,13.2283,
task_datamover,1,13.2266,13.2266,13.2266,13.2266,
task_datamover,2,11.0485,0.435043,5.52423,10.6134,
task_datamover,1,0.108774,0.108774,0.108774,0.108774,
task_datamover,1,0.10857,0.10857,0.10857,0.10857,
task_datamover,3,39.7129,13.2248,13.2376,13.26,
task_datamover,1,3.39169,3.39169,3.39169,3.39169,
task_datamover,4,37.5026,0.437113,9.37566,13.2262,
task_datamover,3,52.7912,13.2235,17.5971,26.3412,
task_datamover,1,13.2199,13.2199,13.2199,13.2199,
task_datamover,1,26.331,26.331,26.331,26.331,
task_datamover,1,10.608,10.608,10.608,10.608,
task_datamover,2,21.2406,10.6032,10.6203,10.6373,
task_datamover,1,10.6591,10.6591,10.6591,10.6591,
task_gather,5,192.623,13.8237,38.5246,55.0193,
task_matmul,12,863.764,0.87784,71.9803,264.896,
task_matops,219,2303.1,0.093208,10.5165,106.756,
task_pad_unpad,8,225.538,0.107341,28.1923,56.257,
task_reduce,48,2661.34,0.094583,55.4446,128.006,
task_relu_sqrt_square,29,71.5228,0.093161,2.4663,14.0933,
task_tile,15,273.926,8.99932,18.2617,45.1012,
task_topk,5,1314.68,262.795,262.935,263.051,
task_transpose,5,16.2261,1.06919,3.24521,4.69538,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,41,1251.081899,13.032103,21345,699.512114,17.061271,
context0:1,WRITE,422,9437.480888,98.307093,19704.9,881.111502,2.087942,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
37276304,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,11853.3,294.774,1:1:1,1:1:1,
37276304,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,14514.2,294.772,1:1:1,1:1:1,
37276304,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,9207.18,294.757,1:1:1,1:1:1,
37272880,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,10571.9,264.896,1:1:1,1:1:1,
37272880,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,13226.4,264.862,1:1:1,1:1:1,
37272880,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,7942.78,264.854,1:1:1,1:1:1,
37277904,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,13720.1,263.051,1:1:1,1:1:1,
37277904,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,11069.4,263.016,1:1:1,1:1:1,
37277904,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,8434.44,262.909,1:1:1,1:1:1,
37277904,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,6187.02,262.905,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17186811904,0,0,795.393,14.216235,41943,2950.362033,
3969024,0,0,6620.49,11.176161,104858,9382.278584,
795578368,0,0,11766.1,11.095976,104858,9450.056489,
1047236608,0,0,14426.2,11.087527,104858,9457.257691,
10014720,0,0,2992.51,11.051340,104891,9491.236357,
543920128,0,0,9120.15,11.036049,104858,9501.371369,
4415488,0,0,14503.1,11.035448,104924,9507.873899,
9887744,0,0,1666.76,11.029504,104858,9507.032773,
4009984,0,0,9196.21,10.912227,104858,9609.207726,
4136960,0,0,11842.4,10.905076,104858,9615.508961,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
18435973120,0,0,4642.51,84.751895,104858,1237.230153,
18121400320,0,0,4845.96,84.412860,104858,1242.199352,
287019008,0,0,3187.56,83.605837,104858,1254.189944,
182161408,0,0,1865.89,42.795581,52428.8,1225.098451,
17754398720,0,0,2749.61,42.104935,52428.8,1245.193705,
330940416,0,0,6813.05,42.092554,52428.8,1245.559963,
18656174080,0,0,7691.49,41.433634,52428.8,1265.368131,
17597112320,0,0,2848.16,41.362966,52428.8,1267.529993,
1256951808,0,0,16688.9,33.394080,41943,1256.002261,
17397882880,0,0,1068.3,33.359465,41943,1257.305535,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,16491.989749,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_concat_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_conv2_1x1_direct_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_datamover_1,60,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_gather_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matmul_1,12,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matops_1,219,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_pad_unpad_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_reduce_1,48,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_relu_sqrt_square_1,29,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_tile_1,15,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_topk_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_transpose_1,5,
MEMORY_BIT_WIDTH,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,512,
MIGRATE_MEM,host,0,
MEMORY_USAGE,DDR[0],8,
MEMORY_USAGE,DDR[1],14,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
