Profile Summary
Generated on: 2020-11-16 22:13:08
Msec since Epoch: 1605564788792
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFlush,422,5720.59,0.1139,13.5559,153.1,
clCreateBuffer,690,1605.05,0.025758,2.32616,24.7349,
clEnqueueReadBuffer,41,299.512,0.149664,7.30517,42.1649,
clCreateProgramWithBinary,1,211.263,211.263,211.263,211.263,
clEnqueueTask,422,209.613,0.079364,0.496714,19.8138,
clSetKernelArg,4372,189.134,0.004529,0.0432603,5.55181,
clCreateKernel,71,87.8985,1.19842,1.23801,1.31272,
clReleaseMemObject,335,69.827,0.004524,0.208439,4.55017,
clEnqueueWriteBuffer,268,33.3413,0.055197,0.124408,1.50391,
clGetEventProfilingInfo,844,4.56795,0.00458,0.00541227,0.023085,
clReleaseEvent,422,3.82365,0.006987,0.00906078,0.041971,
clWaitForEvents,422,2.64204,0.005425,0.00626077,0.037021,
clReleaseKernel,60,0.404081,0.005795,0.00673468,0.031489,
clGetExtensionFunctionAddress,2,0.090259,0.016477,0.0451295,0.073782,
clGetPlatformInfo,14,0.069956,0.004453,0.00499686,0.007703,
clRetainDevice,4,0.024668,0.004572,0.006167,0.009069,
clReleaseDevice,3,0.018036,0.004979,0.006012,0.007655,
clGetDeviceIDs,2,0.01696,0.005065,0.00848,0.011895,
clGetExtensionFunctionAddressForPlatform,2,0.016748,0.005692,0.008374,0.011056,
clGetDeviceInfo,2,0.015149,0.006997,0.0075745,0.008152,
clCreateCommandQueue,1,0.012245,0.012245,0.012245,0.012245,
clCreateContext,1,0.010785,0.010785,0.010785,0.010785,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,127.494,1.93091,15.9367,36.4818,
task_conv2_1x1_direct,8,818.343,49.697,102.293,147.467,
task_datamover,1,0.197158,0.197158,0.197158,0.197158,
task_datamover,1,13.2524,13.2524,13.2524,13.2524,
task_datamover,1,0.296324,0.296324,0.296324,0.296324,
task_datamover,1,0.188182,0.188182,0.188182,0.188182,
task_datamover,1,0.271279,0.271279,0.271279,0.271279,
task_datamover,1,0.19506,0.19506,0.19506,0.19506,
task_datamover,2,26.5221,13.2229,13.2611,13.2992,
task_datamover,1,5.44185,5.44185,5.44185,5.44185,
task_datamover,1,1.748,1.748,1.748,1.748,
task_datamover,1,0.188275,0.188275,0.188275,0.188275,
task_datamover,1,5.40175,5.40175,5.40175,5.40175,
task_datamover,2,13.3956,6.66021,6.69779,6.73538,
task_datamover,2,13.3877,6.66397,6.69386,6.72375,
task_datamover,1,5.34716,5.34716,5.34716,5.34716,
