Profile Summary
Generated on: 2020-11-16 22:12:55
Msec since Epoch: 1605564775767
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFlush,422,4596.42,0.117959,10.892,122.503,
clCreateBuffer,690,1317.78,0.024625,1.90982,29.7548,
clCreateProgramWithBinary,1,246.895,246.895,246.895,246.895,
clEnqueueReadBuffer,41,243.824,0.145426,5.94694,33.745,
clEnqueueTask,422,233.2,0.07807,0.552608,17.1344,
clSetKernelArg,4372,158.193,0.004557,0.0361833,4.61728,
clCreateKernel,71,88.2765,1.1993,1.24333,1.29688,
clReleaseMemObject,335,56.8669,0.004549,0.169752,3.7716,
clEnqueueWriteBuffer,268,33.4957,0.053113,0.124984,1.5405,
clGetEventProfilingInfo,844,4.62848,0.004591,0.00548398,0.033893,
clReleaseEvent,422,3.78909,0.007043,0.00897888,0.042328,
clWaitForEvents,422,2.65261,0.005528,0.0062858,0.022242,
clReleaseKernel,60,0.473857,0.005837,0.00789762,0.037029,
clGetExtensionFunctionAddress,2,0.110934,0.037793,0.055467,0.073141,
clGetPlatformInfo,14,0.071544,0.004549,0.00511029,0.007916,
clRetainDevice,4,0.024568,0.004593,0.006142,0.008981,
clGetExtensionFunctionAddressForPlatform,2,0.019409,0.008133,0.0097045,0.011276,
clReleaseDevice,3,0.018048,0.004923,0.006016,0.007836,
clGetDeviceIDs,2,0.016268,0.005196,0.008134,0.011072,
clGetDeviceInfo,2,0.014752,0.006653,0.007376,0.008099,
clCreateCommandQueue,1,0.012144,0.012144,0.012144,0.012144,
clCreateContext,1,0.011512,0.011512,0.011512,0.011512,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,102.198,1.56758,12.7747,29.2062,
task_conv2_1x1_direct,8,654.97,39.7763,81.8712,118.014,
task_datamover,2,8.61141,4.30472,4.30571,4.30669,
task_datamover,1,0.189323,0.189323,0.189323,0.189323,
task_datamover,1,10.6551,10.6551,10.6551,10.6551,
task_datamover,2,4.96244,0.641036,2.48122,4.3214,
task_datamover,1,0.23943,0.23943,0.23943,0.23943,
task_datamover,1,0.173828,0.173828,0.173828,0.173828,
task_datamover,1,0.244518,0.244518,0.244518,0.244518,
task_datamover,1,0.173652,0.173652,0.173652,0.173652,
task_datamover,1,4.32339,4.32339,4.32339,4.32339,
task_datamover,1,0.172495,0.172495,0.172495,0.172495,
task_datamover,1,1.42049,1.42049,1.42049,1.42049,
task_datamover,1,5.37193,5.37193,5.37193,5.37193,
task_datamover,3,26.6964,5.35546,8.8988,10.7414,
task_datamover,1,5.36734,5.36734,5.36734,5.36734,
task_datamover,1,0.10581,0.10581,0.10581,0.10581,
task_datamover,2,16.1002,5.48149,8.05011,10.6187,
task_datamover,1,5.35473,5.35473,5.35473,5.35473,
task_datamover,2,0.268864,0.101881,0.134432,0.166983,
task_datamover,6,47.0236,0.236675,7.83726,10.629,
task_datamover,1,5.35052,5.35052,5.35052,5.35052,
task_datamover,1,4.30073,4.30073,4.30073,4.30073,
task_datamover,1,4.30115,4.30115,4.30115,4.30115,
task_datamover,2,10.7094,5.34697,5.3547,5.36244,
task_datamover,2,5.75109,1.42182,2.87554,4.32927,
task_datamover,1,5.3768,5.3768,5.3768,5.3768,
task_datamover,1,0.098801,0.098801,0.098801,0.098801,
task_datamover,3,21.3248,5.35246,7.10826,10.6143,
task_datamover,1,5.36908,5.36908,5.36908,5.36908,
task_datamover,2,4.592,0.244803,2.296,4.3472,
task_datamover,1,5.35368,5.35368,5.35368,5.35368,
task_datamover,1,0.099136,0.099136,0.099136,0.099136,
task_datamover,5,26.969,0.245615,5.3938,10.6011,
task_datamover,3,5.964,0.244027,1.988,4.30326,
task_datamover,1,4.35298,4.35298,4.35298,4.35298,
task_datamover,1,4.35548,4.35548,4.35548,4.35548,
task_datamover,1,5.34801,5.34801,5.34801,5.34801,
task_datamover,1,10.6182,10.6182,10.6182,10.6182,
task_datamover,1,4.30469,4.30469,4.30469,4.30469,
task_gather,5,77.4541,5.59003,15.4908,22.0971,
task_matmul,12,345.585,0.374102,28.7987,106.064,
task_matops,219,937.088,0.099479,4.27894,42.8105,
task_pad_unpad,8,90.8296,0.104408,11.3537,22.6208,
task_reduce,48,1068.03,0.098737,22.2505,51.2534,
task_relu_sqrt_square,29,30.5579,0.096705,1.05372,5.70616,
task_tile,15,110.602,3.66528,7.37348,18.105,
task_topk,5,525.968,105.124,105.194,105.251,
task_transpose,5,6.82643,0.48523,1.36529,1.95248,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,41,1465.082739,15.261279,8538.02,238.934503,5.827671,
context0:1,WRITE,422,8260.261358,86.044389,7893.07,403.241145,0.955548,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
19597968,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,6471.37,118.014,1:1:1,1:1:1,
19597968,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,4303.11,117.994,1:1:1,1:1:1,
19597968,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,5388.63,117.989,1:1:1,1:1:1,
19594544,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,3791.32,106.064,1:1:1,1:1:1,
19594544,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,5953.15,106.035,1:1:1,1:1:1,
19594544,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,4868.49,106.009,1:1:1,1:1:1,
19599568,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,6154.61,105.251,1:1:1,1:1:1,
19599568,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,5069.61,105.217,1:1:1,1:1:1,
19599568,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,3991.77,105.206,1:1:1,1:1:1,
19599568,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,3077.22,105.169,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
9916416,0,0,1149.07,16.900153,4.608,0.272660,
17202733056,0,0,1121.38,16.510659,5242.88,317.545169,
328437760,0,0,5352.91,4.489474,41943,9342.528768,
429101056,0,0,6435.51,4.466101,41943,9391.422182,
4009984,0,0,4298.62,4.437577,41943.3,9451.846357,
4136960,0,0,5384.15,4.436714,41943.3,9453.684867,
227774464,0,0,4267.77,4.427025,41943,9474.317403,
4415488,0,0,6466.9,4.415502,42009.1,9514.000447,
10014720,0,0,1744.98,4.399219,41976.3,9541.766391,
9887744,0,0,1187.97,4.392391,41943.3,9549.080672,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
17685618688,0,0,2418.9,33.582872,41943,1248.941425,
125014016,0,0,1823.22,33.138080,41943,1265.705195,
17559789568,0,0,2507.08,33.067681,41943,1268.399801,
17412988928,0,0,1645.63,17.049987,20971.5,1230.002111,
83070976,0,0,1272.65,16.727924,20971.5,1253.683362,
512987136,0,0,7364.48,13.138841,16777.2,1276.917500,
17270382592,0,0,907.354,12.491117,16777.2,1343.131763,
17350074368,0,0,1689.87,10.647156,20971.5,1969.682796,
17773699072,0,0,3697.87,10.593910,20971.5,1979.582609,
142589952,0,0,3332.98,10.506604,20971.5,1996.032210,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,6910.930540,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_concat_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_conv2_1x1_direct_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_datamover_1,60,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_gather_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matmul_1,12,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matops_1,219,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_pad_unpad_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_reduce_1,48,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_relu_sqrt_square_1,29,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_tile_1,15,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_topk_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_transpose_1,5,
MEMORY_BIT_WIDTH,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,512,
MIGRATE_MEM,host,0,
MEMORY_USAGE,DDR[0],8,
MEMORY_USAGE,DDR[1],14,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,task_pad_unpad_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_relu_sqrt_square_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem3,512,
