Profile Summary
Generated on: 2020-11-14 16:12:32
Msec since Epoch: 1605370352755
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
38099888,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,76659.4,1473.11,1:1:1,1:1:1,
38096336,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,54997.7,1323.79,1:1:1,1:1:1,
38096336,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,40391.5,1323.79,1:1:1,1:1:1,
38096336,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,69673.3,1323.78,1:1:1,1:1:1,
38101232,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,43024.8,1314.1,1:1:1,1:1:1,
38101232,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,72298.8,1313.97,1:1:1,1:1:1,
38101232,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,2483.07,1313.91,1:1:1,1:1:1,
38101232,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,30782.3,1313.9,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
4136960,0,0,61951.6,57.361958,524288,9139.999301,
3909849088,0,0,61484.4,56.293465,524288,9313.478927,
4009984,0,0,47267.4,55.728107,524288,9407.968155,
2651557888,0,0,46802.1,55.488754,524288,9448.545195,
5168140288,0,0,76139.1,55.354645,524288,9471.436408,
3969024,0,0,32979.5,55.205937,524288,9496.954213,
10014720,0,0,12400.3,55.145379,524321,9507.982165,
4415488,0,0,76604.2,55.076901,524354,9520.398542,
9887744,0,0,4749.54,55.076028,524288,9519.354882,
28209356800,0,0,75133.7,54.215970,524288,9670.360966,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
23438336000,0,0,22462.9,432.134555,524288,1213.251738,
21865472000,0,0,23446.7,428.650082,524288,1223.114195,
1367052288,0,0,13373.5,419.141659,524288,1250.861108,
20030464000,0,0,10960.9,213.415112,262144,1228.329135,
842764288,0,0,5715.37,212.337283,262144,1234.564163,
19244032000,0,0,11457.7,212.101962,262144,1235.933876,
24539340800,0,0,39171.2,209.233820,262144,1252.875850,
1586626560,0,0,33942.3,208.422575,262144,1257.752429,
6216716288,0,0,89304.6,175.035065,209715,1198.132500,
22809190400,0,0,28722.7,173.928490,209715,1205.755308,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,91962.288593,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_concat_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_conv2_1x1_direct_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_datamover_1,60,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_gather_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matmul_1,12,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matops_1,219,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_pad_unpad_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_reduce_1,48,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_relu_sqrt_square_1,29,
