Profile Summary
Generated on: 2020-11-14 16:09:32
Msec since Epoch: 1605370172120
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,45164.2,0.10633,107.024,1223.52,
clCreateBuffer,810,20218.4,0.018965,24.961,161.913,
clEnqueueReadBuffer,41,2800.41,0.136917,68.3026,339.653,
clReleaseMemObject,455,2287.64,0.004972,5.02778,35.3186,
clSetKernelArg,4372,1263.19,0.004965,0.288928,41.6087,
clEnqueueTask,422,251.338,0.078583,0.595588,19.9548,
clCreateProgramWithBinary,1,235.599,235.599,235.599,235.599,
clCreateKernel,71,88.9197,1.19772,1.25239,1.33142,
clEnqueueWriteBuffer,268,44.0928,0.052688,0.164526,1.87725,
clGetEventProfilingInfo,844,5.44581,0.005096,0.00645239,0.037802,
clReleaseEvent,422,4.22869,0.007374,0.0100206,0.039849,
clReleaseKernel,60,0.425887,0.006359,0.00709812,0.009958,
clGetExtensionFunctionAddress,2,0.090013,0.017332,0.0450065,0.072681,
clGetPlatformInfo,14,0.074621,0.004834,0.00533007,0.00815,
clRetainDevice,4,0.029069,0.005936,0.00726725,0.009227,
clGetDeviceIDs,2,0.019676,0.005516,0.009838,0.01416,
clReleaseDevice,3,0.019301,0.005169,0.00643367,0.008533,
clGetExtensionFunctionAddressForPlatform,2,0.018433,0.006144,0.0092165,0.012289,
clGetDeviceInfo,2,0.016288,0.007399,0.008144,0.008889,
clCreateCommandQueue,1,0.012768,0.012768,0.012768,0.012768,
clCreateContext,1,0.010859,0.010859,0.010859,0.010859,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,1012.98,14.6672,126.623,290.789,
task_conv2_1x1_direct,8,6538.94,396.687,817.368,1178.57,
task_datamover,2,42.8386,0.76374,21.4193,42.0748,
task_datamover,1,0.761873,0.761873,0.761873,0.761873,
task_datamover,1,105.03,105.03,105.03,105.03,
task_datamover,1,104.993,104.993,104.993,104.993,
task_datamover,1,0.852585,0.852585,0.852585,0.852585,
task_datamover,2,2.23382,0.764994,1.11691,1.46882,
task_datamover,1,0.772738,0.772738,0.772738,0.772738,
task_datamover,1,52.5728,52.5728,52.5728,52.5728,
task_datamover,1,104.999,104.999,104.999,104.999,
task_datamover,2,84.2066,42.0843,42.1033,42.1223,
task_datamover,1,42.1245,42.1245,42.1245,42.1245,
task_datamover,1,104.994,104.994,104.994,104.994,
task_datamover,1,52.5702,52.5702,52.5702,52.5702,
task_datamover,1,13.2601,13.2601,13.2601,13.2601,
task_datamover,2,105.183,52.5659,52.5914,52.6169,
task_datamover,1,5.37988,5.37988,5.37988,5.37988,
task_datamover,1,0.111374,0.111374,0.111374,0.111374,
task_datamover,1,52.6146,52.6146,52.6146,52.6146,
task_datamover,2,43.5466,1.46477,21.7733,42.0818,
task_datamover,3,157.692,52.5606,52.5641,52.5709,
task_datamover,1,52.6639,52.6639,52.6639,52.6639,
task_datamover,1,0.762648,0.762648,0.762648,0.762648,
task_datamover,1,0.102313,0.102313,0.102313,0.102313,
task_datamover,1,0.108451,0.108451,0.108451,0.108451,
task_datamover,1,0.098767,0.098767,0.098767,0.098767,
task_datamover,1,42.1153,42.1153,42.1153,42.1153,
task_datamover,2,43.5179,1.42846,21.7589,42.0894,
task_datamover,3,210.165,52.5761,70.0548,104.99,
task_datamover,1,52.5621,52.5621,52.5621,52.5621,
task_datamover,3,148.496,1.42535,49.4987,104.993,
task_datamover,1,52.5602,52.5602,52.5602,52.5602,
task_datamover,1,52.6135,52.6135,52.6135,52.6135,
task_datamover,1,105.003,105.003,105.003,105.003,
task_datamover,1,13.2731,13.2731,13.2731,13.2731,
task_datamover,2,43.4891,1.41769,21.7446,42.0715,
task_datamover,1,42.0778,42.0778,42.0778,42.0778,
task_datamover,3,157.769,52.5676,52.5898,52.6125,
task_datamover,1,105.047,105.047,105.047,105.047,
task_datamover,2,210.011,104.993,105.005,105.018,
task_datamover,4,139.537,13.2599,34.8841,42.1274,
task_datamover,1,104.985,104.985,104.985,104.985,
task_gather,5,767.892,54.8251,153.578,219.448,
task_matmul,12,3442.77,2.73458,286.898,1059.11,
task_matops,219,9135.61,0.097797,41.7151,426.432,
task_pad_unpad,8,898.518,0.10276,112.315,224.615,
task_reduce,48,10626.3,0.118024,221.381,511.584,
task_relu_sqrt_square,29,275.748,0.089938,9.50856,55.843,
task_tile,15,1090.49,35.7032,72.6996,180.128,
task_topk,5,5256.97,1051.27,1051.39,1051.55,
task_transpose,5,63.3037,3.95077,12.6607,18.4932,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,41,1252.477122,13.046637,85380.2,2794.931358,68.169058,
context0:1,WRITE,422,9517.867786,99.144456,78764.1,3492.216142,8.275394,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
39562160,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,38083.2,1178.57,1:1:1,1:1:1,
39562160,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,61602.5,1178.53,1:1:1,1:1:1,
39562160,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,49856.9,1178.53,1:1:1,1:1:1,
39558608,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,32522.1,1059.11,1:1:1,1:1:1,
39558608,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,56013.3,1059.04,1:1:1,1:1:1,
39558608,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,44229,1059.04,1:1:1,1:1:1,
39563504,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,34639.4,1051.55,1:1:1,1:1:1,
39563504,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,46339,1051.47,1:1:1,1:1:1,
39563504,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,58119.7,1051.37,1:1:1,1:1:1,
39563504,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,24806.5,1051.32,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
4137914368,0,0,61186.1,45.426508,419430,9233.164037,
4136960,0,0,49811.9,44.982664,419431,9324.273369,
3131281408,0,0,49436.9,44.877044,419430,9346.212732,
2124648448,0,0,37666.7,44.444089,419430,9437.259474,
4009984,0,0,38038.7,44.318322,419431,9464.046405,
3969024,0,0,26563.4,44.238596,419431,9481.102339,
24997928960,0,0,63247.1,44.194229,419430,9490.614714,
10014720,0,0,10110.5,44.103120,419464,9510.975187,
9887744,0,0,3996,44.067947,419431,9517.817020,
4415488,0,0,61558.4,44.053206,419496,9522.495321,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1097043968,0,0,10889.1,339.459434,419430,1235.583277,
22187745280,0,0,18159.3,338.641465,419430,1238.567758,
20929454080,0,0,18945.6,333.377160,419430,1258.125782,
677613568,0,0,4770.65,169.569472,209715,1236.750917,
19461447680,0,0,8961.15,167.994311,209715,1248.347035,
18832302080,0,0,9358.72,167.249646,209715,1253.905195,
23068549120,0,0,31539.4,167.210880,209715,1254.195899,
1272700928,0,0,27333.9,166.623955,209715,1258.613745,
1537445888,0,0,20660.4,134.993711,167772,1242.814637,
4976775168,0,0,71734.9,134.390511,167772,1248.392902,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,73686.299816,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_concat_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_conv2_1x1_direct_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_datamover_1,60,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_gather_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matmul_1,12,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_matops_1,219,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_pad_unpad_1,8,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_reduce_1,48,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_relu_sqrt_square_1,29,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_tile_1,15,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_topk_1,5,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|task_transpose_1,5,
MEMORY_BIT_WIDTH,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,512,
MIGRATE_MEM,host,0,
MEMORY_USAGE,DDR[0],8,
MEMORY_USAGE,DDR[1],14,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,task_pad_unpad_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_relu_sqrt_square_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,task_gather_1/m_axi_gmem3,512,
PORT_BIT_WIDTH,task_concat_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_concat_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_topk_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_topk_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_transpose_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_conv2_1x1_direct_1/m_axi_gmem0,512,
PORT_BIT_WIDTH,task_conv2_1x1_direct_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_conv2_1x1_direct_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_conv2_1x1_direct_1/m_axi_gmem3,512,
PORT_BIT_WIDTH,task_reduce_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_datamover_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_datamover_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_matops_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,task_matops_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_matmul_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,task_matmul_1/m_axi_gmem2,512,
PORT_BIT_WIDTH,task_tile_1/m_axi_gmem1,512,
KERNEL_COUNT,task_concat,1,
KERNEL_COUNT,task_conv2_1x1_direct,1,
KERNEL_COUNT,task_datamover,1,
KERNEL_COUNT,task_gather,1,
KERNEL_COUNT,task_matmul,1,
KERNEL_COUNT,task_matops,1,
KERNEL_COUNT,task_pad_unpad,1,
KERNEL_COUNT,task_reduce,1,
KERNEL_COUNT,task_relu_sqrt_square,1,
KERNEL_COUNT,task_tile,1,
KERNEL_COUNT,task_topk,1,
KERNEL_COUNT,task_transpose,1,
OBJECTS_RELEASED,all,0,

